location,location_name,date,orig_obs,issue_date,real_diff,relative_diff_orig_base,relative_diff_revised_base
26,Michigan,2020-03-21,3,2020-06-21,2,0.6666666666666666,0.4
26,Michigan,2020-03-28,108,2020-06-21,16,0.14814814814814814,0.12903225806451613
26,Michigan,2020-04-04,429,2020-06-21,26,0.06060606060606061,0.05714285714285714
26,Michigan,2020-04-11,844,2020-06-21,58,0.06872037914691943,0.06430155210643015
26,Michigan,2020-04-18,924,2020-06-21,49,0.05303030303030303,0.050359712230215826
26,Michigan,2020-04-25,847,2020-06-21,32,0.03778040141676505,0.03640500568828214
26,Michigan,2020-05-02,866,2020-06-21,19,0.021939953810623556,0.021468926553672316
26,Michigan,2020-05-09,509,2020-06-21,24,0.047151277013752456,0.0450281425891182
26,Michigan,2020-05-16,351,2020-06-21,6,0.017094017094017096,0.01680672268907563
26,Michigan,2020-05-23,342,2020-06-21,4,0.011695906432748537,0.011560693641618497
26,Michigan,2020-05-30,241,2020-06-21,3,0.012448132780082987,0.012295081967213115
26,Michigan,2020-06-06,149,2020-06-21,63,0.4228187919463087,0.2971698113207547
29,Missouri,2020-03-28,7,2020-06-21,3,0.42857142857142855,0.3
29,Missouri,2020-04-04,23,2020-06-21,15,0.6521739130434783,0.39473684210526316
29,Missouri,2020-04-11,83,2020-06-21,11,0.13253012048192772,0.11702127659574468
29,Missouri,2020-04-18,81,2020-06-21,10,0.12345679012345678,0.10989010989010989
29,Missouri,2020-04-25,84,2020-06-21,37,0.44047619047619047,0.30578512396694213
29,Missouri,2020-05-02,95,2020-06-21,20,0.21052631578947367,0.17391304347826086
29,Missouri,2020-05-09,118,2020-06-21,4,0.03389830508474576,0.03278688524590164
29,Missouri,2020-05-16,100,2020-06-21,-3,-0.03,-0.030927835051546393
29,Missouri,2020-05-23,88,2020-06-21,-14,-0.1590909090909091,-0.1891891891891892
29,Missouri,2020-05-30,92,2020-06-21,-45,-0.4891304347826087,-0.9574468085106383
29,Missouri,2020-06-06,41,2020-06-21,-5,-0.12195121951219512,-0.1388888888888889
69,Northern Mariana Islands,2020-06-06,15,2020-06-21,-15,-1,-Inf
06,California,2020-05-23,530,2020-06-28,-1,-0.0018867924528301887,-0.001890359168241966
06,California,2020-06-06,462,2020-06-28,1,0.0021645021645021645,0.0021598272138228943
06,California,2020-06-13,470,2020-06-28,-1,-0.002127659574468085,-0.0021321961620469083
08,Colorado,2020-03-14,0,2020-06-28,2,2,2
08,Colorado,2020-03-21,6,2020-06-28,-2,-0.3333333333333333,-0.5
08,Colorado,2020-03-28,25,2020-06-28,13,0.52,0.34210526315789475
08,Colorado,2020-04-04,80,2020-06-28,2,0.025,0.024390243902439025
08,Colorado,2020-04-11,139,2020-06-28,9,0.06474820143884892,0.060810810810810814
08,Colorado,2020-04-18,139,2020-06-28,-2,-0.014388489208633094,-0.014598540145985401
08,Colorado,2020-04-25,295,2020-06-28,-22,-0.07457627118644068,-0.08058608058608059
26,Michigan,2020-03-14,0,2020-06-28,1,1,1
26,Michigan,2020-03-21,3,2020-06-28,2,0.6666666666666666,0.4
26,Michigan,2020-03-28,108,2020-06-28,16,0.14814814814814814,0.12903225806451613
26,Michigan,2020-04-04,429,2020-06-28,26,0.06060606060606061,0.05714285714285714
26,Michigan,2020-04-11,844,2020-06-28,58,0.06872037914691943,0.06430155210643015
26,Michigan,2020-04-18,924,2020-06-28,49,0.05303030303030303,0.050359712230215826
26,Michigan,2020-04-25,847,2020-06-28,32,0.03778040141676505,0.03640500568828214
26,Michigan,2020-05-02,866,2020-06-28,19,0.021939953810623556,0.021468926553672316
26,Michigan,2020-05-09,509,2020-06-28,24,0.047151277013752456,0.0450281425891182
26,Michigan,2020-05-16,351,2020-06-28,6,0.017094017094017096,0.01680672268907563
26,Michigan,2020-05-23,342,2020-06-28,4,0.011695906432748537,0.011560693641618497
26,Michigan,2020-05-30,241,2020-06-28,3,0.012448132780082987,0.012295081967213115
26,Michigan,2020-06-06,149,2020-06-28,63,0.4228187919463087,0.2971698113207547
29,Missouri,2020-03-28,7,2020-06-28,3,0.42857142857142855,0.3
29,Missouri,2020-04-04,23,2020-06-28,15,0.6521739130434783,0.39473684210526316
29,Missouri,2020-04-11,83,2020-06-28,11,0.13253012048192772,0.11702127659574468
29,Missouri,2020-04-18,81,2020-06-28,10,0.12345679012345678,0.10989010989010989
29,Missouri,2020-04-25,84,2020-06-28,37,0.44047619047619047,0.30578512396694213
29,Missouri,2020-05-02,95,2020-06-28,20,0.21052631578947367,0.17391304347826086
29,Missouri,2020-05-09,118,2020-06-28,4,0.03389830508474576,0.03278688524590164
29,Missouri,2020-05-16,100,2020-06-28,-3,-0.03,-0.030927835051546393
29,Missouri,2020-05-23,88,2020-06-28,-14,-0.1590909090909091,-0.1891891891891892
29,Missouri,2020-05-30,92,2020-06-28,-45,-0.4891304347826087,-0.9574468085106383
29,Missouri,2020-06-06,41,2020-06-28,-5,-0.12195121951219512,-0.1388888888888889
41,Oregon,2020-06-20,15,2020-06-28,1,0.06666666666666667,0.0625
69,Northern Mariana Islands,2020-06-06,15,2020-06-28,-15,-1,-Inf
06,California,2020-05-23,530,2020-07-05,-1,-0.0018867924528301887,-0.001890359168241966
06,California,2020-06-06,462,2020-07-05,1,0.0021645021645021645,0.0021598272138228943
06,California,2020-06-13,470,2020-07-05,-1,-0.002127659574468085,-0.0021321961620469083
08,Colorado,2020-03-14,0,2020-07-05,2,2,2
08,Colorado,2020-03-21,6,2020-07-05,-2,-0.3333333333333333,-0.5
08,Colorado,2020-03-28,25,2020-07-05,13,0.52,0.34210526315789475
08,Colorado,2020-04-04,80,2020-07-05,2,0.025,0.024390243902439025
08,Colorado,2020-04-11,139,2020-07-05,9,0.06474820143884892,0.060810810810810814
08,Colorado,2020-04-18,139,2020-07-05,-2,-0.014388489208633094,-0.014598540145985401
08,Colorado,2020-04-25,295,2020-07-05,-22,-0.07457627118644068,-0.08058608058608059
25,Massachusetts,2020-06-20,251,2020-07-05,1,0.00398406374501992,0.003968253968253968
26,Michigan,2020-03-14,0,2020-07-05,1,1,1
26,Michigan,2020-03-21,3,2020-07-05,2,0.6666666666666666,0.4
26,Michigan,2020-03-28,108,2020-07-05,16,0.14814814814814814,0.12903225806451613
26,Michigan,2020-04-04,429,2020-07-05,26,0.06060606060606061,0.05714285714285714
26,Michigan,2020-04-11,844,2020-07-05,58,0.06872037914691943,0.06430155210643015
26,Michigan,2020-04-18,924,2020-07-05,49,0.05303030303030303,0.050359712230215826
26,Michigan,2020-04-25,847,2020-07-05,32,0.03778040141676505,0.03640500568828214
26,Michigan,2020-05-02,866,2020-07-05,19,0.021939953810623556,0.021468926553672316
26,Michigan,2020-05-09,509,2020-07-05,24,0.047151277013752456,0.0450281425891182
26,Michigan,2020-05-16,351,2020-07-05,6,0.017094017094017096,0.01680672268907563
