location,date,issue_date,anomaly_type
25,2020-04-11,2020-12-20,adjacent to revision
25,2020-06-06,2020-12-20,revision
25,2020-03-07,2020-12-27,revision
25,2020-03-14,2020-12-27,revision
25,2020-03-21,2020-12-27,revision
25,2020-03-28,2020-12-27,adjacent to revision
25,2020-04-04,2020-12-27,adjacent to revision
25,2020-04-11,2020-12-27,adjacent to revision
25,2020-06-06,2020-12-27,revision
25,2020-03-07,2021-01-03,revision
25,2020-03-14,2021-01-03,revision
25,2020-03-21,2021-01-03,revision
25,2020-03-28,2021-01-03,adjacent to revision
25,2020-04-04,2021-01-03,adjacent to revision
25,2020-04-11,2021-01-03,adjacent to revision
25,2020-06-06,2021-01-03,revision
25,2020-03-07,2021-01-10,revision
25,2020-03-14,2021-01-10,revision
25,2020-03-21,2021-01-10,revision
25,2020-03-28,2021-01-10,adjacent to revision
25,2020-04-04,2021-01-10,adjacent to revision
25,2020-04-11,2021-01-10,adjacent to revision
25,2020-06-06,2021-01-10,revision
25,2020-03-07,2021-01-17,revision
25,2020-03-14,2021-01-17,revision
25,2020-03-21,2021-01-17,revision
25,2020-03-28,2021-01-17,adjacent to revision
25,2020-04-04,2021-01-17,adjacent to revision
25,2020-04-11,2021-01-17,adjacent to revision
25,2020-06-06,2021-01-17,revision
25,2020-03-07,2021-01-24,revision
25,2020-03-14,2021-01-24,revision
25,2020-03-21,2021-01-24,revision
25,2020-03-28,2021-01-24,adjacent to revision
25,2020-04-04,2021-01-24,adjacent to revision
25,2020-04-11,2021-01-24,adjacent to revision
25,2020-06-06,2021-01-24,revision
25,2020-03-07,2021-01-31,revision
25,2020-03-14,2021-01-31,revision
25,2020-03-21,2021-01-31,revision
25,2020-03-28,2021-01-31,adjacent to revision
25,2020-04-04,2021-01-31,adjacent to revision
25,2020-04-11,2021-01-31,adjacent to revision
25,2020-06-06,2021-01-31,revision
25,2020-03-07,2021-02-07,revision
25,2020-03-14,2021-02-07,revision
25,2020-03-21,2021-02-07,revision
25,2020-03-28,2021-02-07,adjacent to revision
25,2020-04-04,2021-02-07,adjacent to revision
25,2020-04-11,2021-02-07,adjacent to revision
25,2020-06-06,2021-02-07,revision
25,2020-03-07,2021-02-14,revision
25,2020-03-14,2021-02-14,revision
25,2020-03-21,2021-02-14,revision
25,2020-03-28,2021-02-14,adjacent to revision
25,2020-04-04,2021-02-14,adjacent to revision
25,2020-04-11,2021-02-14,adjacent to revision
25,2020-06-06,2021-02-14,revision
25,2020-03-07,2021-02-21,revision
25,2020-03-14,2021-02-21,revision
25,2020-03-21,2021-02-21,revision
25,2020-03-28,2021-02-21,adjacent to revision
25,2020-04-04,2021-02-21,adjacent to revision
25,2020-04-11,2021-02-21,adjacent to revision
25,2020-06-06,2021-02-21,revision
25,2020-03-07,2021-02-28,revision
25,2020-03-14,2021-02-28,revision
25,2020-03-21,2021-02-28,revision
25,2020-03-28,2021-02-28,adjacent to revision
25,2020-04-04,2021-02-28,adjacent to revision
25,2020-04-11,2021-02-28,adjacent to revision
25,2020-06-06,2021-02-28,revision
25,2020-03-07,2021-03-07,revision
25,2020-03-14,2021-03-07,revision
25,2020-03-21,2021-03-07,revision
25,2020-03-28,2021-03-07,adjacent to revision
25,2020-04-04,2021-03-07,adjacent to revision
25,2020-04-11,2021-03-07,adjacent to revision
25,2020-06-06,2021-03-07,revision
25,2020-03-07,2021-03-14,revision
25,2020-03-14,2021-03-14,revision
25,2020-03-21,2021-03-14,revision
25,2020-03-28,2021-03-14,adjacent to revision
25,2020-04-04,2021-03-14,adjacent to revision
25,2020-04-11,2021-03-14,adjacent to revision
25,2020-06-06,2021-03-14,revision
25,2020-03-07,2021-03-21,revision
25,2020-03-14,2021-03-21,revision
25,2020-03-21,2021-03-21,revision
25,2020-03-28,2021-03-21,adjacent to revision
25,2020-04-04,2021-03-21,adjacent to revision
25,2020-04-11,2021-03-21,adjacent to revision
25,2020-06-06,2021-03-21,revision
25,2020-03-07,2021-03-28,revision
25,2020-03-14,2021-03-28,revision
25,2020-03-21,2021-03-28,revision
25,2020-03-28,2021-03-28,adjacent to revision
25,2020-04-04,2021-03-28,adjacent to revision
25,2020-04-11,2021-03-28,adjacent to revision
25,2020-06-06,2021-03-28,revision
25,2020-03-07,2021-04-04,revision
25,2020-03-14,2021-04-04,revision
25,2020-03-21,2021-04-04,revision
25,2020-03-28,2021-04-04,adjacent to revision
25,2020-04-04,2021-04-04,adjacent to revision
25,2020-04-11,2021-04-04,adjacent to revision
25,2020-06-06,2021-04-04,revision
25,2020-03-07,2021-04-11,revision
25,2020-03-14,2021-04-11,revision
25,2020-03-21,2021-04-11,revision
25,2020-03-28,2021-04-11,adjacent to revision
25,2020-04-04,2021-04-11,adjacent to revision
25,2020-04-11,2021-04-11,adjacent to revision
25,2020-06-06,2021-04-11,revision
25,2020-03-07,2021-04-18,revision
25,2020-03-14,2021-04-18,revision
25,2020-03-21,2021-04-18,revision
25,2020-03-28,2021-04-18,adjacent to revision
25,2020-04-04,2021-04-18,adjacent to revision
25,2020-04-11,2021-04-18,adjacent to revision
25,2020-06-06,2021-04-18,revision
25,2020-03-07,2021-04-25,revision
25,2020-03-14,2021-04-25,revision
25,2020-03-21,2021-04-25,revision
25,2020-03-28,2021-04-25,adjacent to revision
25,2020-04-04,2021-04-25,adjacent to revision
25,2020-04-11,2021-04-25,adjacent to revision
25,2020-06-06,2021-04-25,revision
25,2020-03-07,2021-05-02,revision
25,2020-03-14,2021-05-02,revision
25,2020-03-21,2021-05-02,revision
25,2020-03-28,2021-05-02,adjacent to revision
25,2020-04-04,2021-05-02,adjacent to revision
25,2020-04-11,2021-05-02,adjacent to revision
25,2020-06-06,2021-05-02,revision
25,2020-03-07,2021-05-09,revision
25,2020-03-14,2021-05-09,revision
25,2020-03-21,2021-05-09,revision
25,2020-03-28,2021-05-09,adjacent to revision
25,2020-04-04,2021-05-09,adjacent to revision
25,2020-04-11,2021-05-09,adjacent to revision
25,2020-06-06,2021-05-09,revision
25,2020-03-07,2021-05-16,revision
25,2020-03-14,2021-05-16,revision
25,2020-03-21,2021-05-16,revision
25,2020-03-28,2021-05-16,adjacent to revision
25,2020-04-04,2021-05-16,adjacent to revision
25,2020-04-11,2021-05-16,adjacent to revision
25,2020-06-06,2021-05-16,revision
25,2020-03-07,2021-05-23,revision
25,2020-03-14,2021-05-23,revision
25,2020-03-21,2021-05-23,revision
25,2020-03-28,2021-05-23,adjacent to revision
25,2020-04-04,2021-05-23,adjacent to revision
25,2020-04-11,2021-05-23,adjacent to revision
25,2020-06-06,2021-05-23,revision
25,2020-03-07,2021-05-30,revision
25,2020-03-14,2021-05-30,revision
25,2020-03-21,2021-05-30,revision
25,2020-03-28,2021-05-30,adjacent to revision
25,2020-04-04,2021-05-30,adjacent to revision
25,2020-04-11,2021-05-30,adjacent to revision
25,2020-06-06,2021-05-30,revision
25,2020-03-07,2021-06-06,revision
25,2020-03-14,2021-06-06,revision
25,2020-03-21,2021-06-06,revision
25,2020-03-28,2021-06-06,adjacent to revision
25,2020-04-04,2021-06-06,adjacent to revision
25,2020-04-11,2021-06-06,adjacent to revision
25,2020-06-06,2021-06-06,revision
25,2020-03-07,2021-06-13,revision
25,2020-03-14,2021-06-13,revision
25,2020-03-21,2021-06-13,revision
25,2020-03-28,2021-06-13,adjacent to revision
25,2020-04-04,2021-06-13,adjacent to revision
25,2020-04-11,2021-06-13,adjacent to revision
25,2020-06-06,2021-06-13,revision
25,2020-03-07,2021-06-20,revision
25,2020-03-14,2021-06-20,revision
25,2020-03-21,2021-06-20,revision
25,2020-03-28,2021-06-20,adjacent to revision
25,2020-04-04,2021-06-20,adjacent to revision
25,2020-04-11,2021-06-20,adjacent to revision
25,2020-06-06,2021-06-20,revision
25,2020-03-07,2021-06-27,revision
25,2020-03-14,2021-06-27,revision
25,2020-03-21,2021-06-27,revision
25,2020-03-28,2021-06-27,adjacent to revision
25,2020-04-04,2021-06-27,adjacent to revision
25,2020-04-11,2021-06-27,adjacent to revision
25,2020-06-06,2021-06-27,revision
25,2020-03-07,2021-07-04,revision
25,2020-03-14,2021-07-04,revision
25,2020-03-21,2021-07-04,revision
25,2020-03-28,2021-07-04,adjacent to revision
25,2020-04-04,2021-07-04,adjacent to revision
25,2020-04-11,2021-07-04,adjacent to revision
25,2020-06-06,2021-07-04,revision
25,2020-03-07,2021-07-11,revision
25,2020-03-14,2021-07-11,revision
25,2020-03-21,2021-07-11,revision
25,2020-03-28,2021-07-11,adjacent to revision
25,2020-04-04,2021-07-11,adjacent to revision
25,2020-04-11,2021-07-11,adjacent to revision
25,2020-06-06,2021-07-11,revision
25,2020-03-07,2021-07-18,revision
25,2020-03-14,2021-07-18,revision
25,2020-03-21,2021-07-18,revision
25,2020-03-28,2021-07-18,adjacent to revision
25,2020-04-04,2021-07-18,adjacent to revision
25,2020-04-11,2021-07-18,adjacent to revision
25,2020-06-06,2021-07-18,revision
25,2020-03-07,2021-07-25,revision
25,2020-03-14,2021-07-25,revision
25,2020-03-21,2021-07-25,revision
25,2020-03-28,2021-07-25,adjacent to revision
25,2020-04-04,2021-07-25,adjacent to revision
25,2020-04-11,2021-07-25,adjacent to revision
25,2020-06-06,2021-07-25,revision
25,2020-03-07,2021-08-01,revision
25,2020-03-14,2021-08-01,revision
25,2020-03-21,2021-08-01,revision
25,2020-03-28,2021-08-01,adjacent to revision
25,2020-04-04,2021-08-01,adjacent to revision
25,2020-04-11,2021-08-01,adjacent to revision
25,2020-06-06,2021-08-01,revision
25,2020-03-07,2021-08-08,revision
25,2020-03-14,2021-08-08,revision
25,2020-03-21,2021-08-08,revision
25,2020-03-28,2021-08-08,adjacent to revision
25,2020-04-04,2021-08-08,adjacent to revision
25,2020-04-11,2021-08-08,adjacent to revision
25,2020-06-06,2021-08-08,revision
25,2020-03-07,2021-08-15,revision
25,2020-03-14,2021-08-15,revision
25,2020-03-21,2021-08-15,revision
25,2020-03-28,2021-08-15,adjacent to revision
25,2020-04-04,2021-08-15,adjacent to revision
25,2020-04-11,2021-08-15,adjacent to revision
25,2020-06-06,2021-08-15,revision
25,2020-03-07,2021-08-22,revision
25,2020-03-14,2021-08-22,revision
25,2020-03-21,2021-08-22,revision
25,2020-03-28,2021-08-22,adjacent to revision
25,2020-04-04,2021-08-22,adjacent to revision
25,2020-04-11,2021-08-22,adjacent to revision
25,2020-06-06,2021-08-22,revision
25,2020-03-07,2021-08-29,revision
25,2020-03-14,2021-08-29,revision
25,2020-03-21,2021-08-29,revision
25,2020-03-28,2021-08-29,adjacent to revision
25,2020-04-04,2021-08-29,adjacent to revision
25,2020-04-11,2021-08-29,adjacent to revision
25,2020-06-06,2021-08-29,revision
25,2020-03-07,2021-09-05,revision
25,2020-03-14,2021-09-05,revision
25,2020-03-21,2021-09-05,revision
25,2020-03-28,2021-09-05,adjacent to revision
25,2020-04-04,2021-09-05,adjacent to revision
25,2020-04-11,2021-09-05,adjacent to revision
25,2020-06-06,2021-09-05,revision
25,2020-03-07,2021-09-12,revision
25,2020-03-14,2021-09-12,revision
25,2020-03-21,2021-09-12,revision
25,2020-03-28,2021-09-12,adjacent to revision
25,2020-04-04,2021-09-12,adjacent to revision
25,2020-04-11,2021-09-12,adjacent to revision
25,2020-06-06,2021-09-12,revision
25,2020-03-07,2021-09-19,revision
25,2020-03-14,2021-09-19,revision
25,2020-03-21,2021-09-19,revision
25,2020-03-28,2021-09-19,adjacent to revision
25,2020-04-04,2021-09-19,adjacent to revision
25,2020-04-11,2021-09-19,adjacent to revision
25,2020-06-06,2021-09-19,revision
25,2020-03-07,2021-09-26,revision
25,2020-03-14,2021-09-26,revision
25,2020-03-21,2021-09-26,revision
25,2020-03-28,2021-09-26,adjacent to revision
25,2020-04-04,2021-09-26,adjacent to revision
25,2020-04-11,2021-09-26,adjacent to revision
25,2020-06-06,2021-09-26,revision
25,2020-03-07,2021-10-03,revision
25,2020-03-14,2021-10-03,revision
25,2020-03-21,2021-10-03,revision
25,2020-03-28,2021-10-03,adjacent to revision
25,2020-04-04,2021-10-03,adjacent to revision
25,2020-04-11,2021-10-03,adjacent to revision
25,2020-06-06,2021-10-03,revision
25,2020-03-07,2021-10-10,revision
25,2020-03-14,2021-10-10,revision
25,2020-03-21,2021-10-10,revision
25,2020-03-28,2021-10-10,adjacent to revision
25,2020-04-04,2021-10-10,adjacent to revision
25,2020-04-11,2021-10-10,adjacent to revision
25,2020-06-06,2021-10-10,revision
25,2020-03-07,2021-10-17,revision
25,2020-03-14,2021-10-17,revision
25,2020-03-21,2021-10-17,revision
25,2020-03-28,2021-10-17,adjacent to revision
25,2020-04-04,2021-10-17,adjacent to revision
25,2020-04-11,2021-10-17,adjacent to revision
25,2020-06-06,2021-10-17,revision
25,2020-03-07,2021-10-24,revision
25,2020-03-14,2021-10-24,revision
25,2020-03-21,2021-10-24,revision
25,2020-03-28,2021-10-24,adjacent to revision
25,2020-04-04,2021-10-24,adjacent to revision
25,2020-04-11,2021-10-24,adjacent to revision
25,2020-06-06,2021-10-24,revision
25,2020-03-07,2021-10-31,revision
25,2020-03-14,2021-10-31,revision
25,2020-03-21,2021-10-31,revision
25,2020-03-28,2021-10-31,adjacent to revision
25,2020-04-04,2021-10-31,adjacent to revision
25,2020-04-11,2021-10-31,adjacent to revision
25,2020-06-06,2021-10-31,revision
25,2020-03-07,2021-11-07,revision
25,2020-03-14,2021-11-07,revision
25,2020-03-21,2021-11-07,revision
25,2020-03-28,2021-11-07,adjacent to revision
25,2020-04-04,2021-11-07,adjacent to revision
25,2020-04-11,2021-11-07,adjacent to revision
25,2020-06-06,2021-11-07,revision
25,2020-03-07,2021-11-14,revision
25,2020-03-14,2021-11-14,revision
25,2020-03-21,2021-11-14,revision
25,2020-03-28,2021-11-14,adjacent to revision
25,2020-04-04,2021-11-14,adjacent to revision
25,2020-04-11,2021-11-14,adjacent to revision
25,2020-06-06,2021-11-14,revision
25,2020-03-07,2021-11-21,revision
25,2020-03-14,2021-11-21,revision
25,2020-03-21,2021-11-21,revision
25,2020-03-28,2021-11-21,adjacent to revision
25,2020-04-04,2021-11-21,adjacent to revision
25,2020-04-11,2021-11-21,adjacent to revision
25,2020-06-06,2021-11-21,revision
25,2020-03-07,2021-11-28,revision
25,2020-03-14,2021-11-28,revision
25,2020-03-21,2021-11-28,revision
25,2020-03-28,2021-11-28,adjacent to revision
25,2020-04-04,2021-11-28,adjacent to revision
25,2020-04-11,2021-11-28,adjacent to revision
25,2020-06-06,2021-11-28,revision
25,2020-03-07,2021-12-05,revision
25,2020-03-14,2021-12-05,revision
25,2020-03-21,2021-12-05,revision
25,2020-03-28,2021-12-05,adjacent to revision
25,2020-04-04,2021-12-05,adjacent to revision
25,2020-04-11,2021-12-05,adjacent to revision
25,2020-06-06,2021-12-05,revision
25,2020-03-07,2021-12-12,revision
25,2020-03-14,2021-12-12,revision
25,2020-03-21,2021-12-12,revision
25,2020-03-28,2021-12-12,adjacent to revision
25,2020-04-04,2021-12-12,adjacent to revision
25,2020-04-11,2021-12-12,adjacent to revision
25,2020-06-06,2021-12-12,revision
25,2020-03-07,2021-12-19,revision
25,2020-03-14,2021-12-19,revision
25,2020-03-21,2021-12-19,revision
25,2020-03-28,2021-12-19,adjacent to revision
25,2020-04-04,2021-12-19,adjacent to revision
25,2020-04-11,2021-12-19,adjacent to revision
25,2020-06-06,2021-12-19,revision
25,2020-03-07,2021-12-26,revision
25,2020-03-14,2021-12-26,revision
25,2020-03-21,2021-12-26,revision
25,2020-03-28,2021-12-26,adjacent to revision
25,2020-04-04,2021-12-26,adjacent to revision
25,2020-04-11,2021-12-26,adjacent to revision
25,2020-06-06,2021-12-26,revision
25,2020-03-07,2022-01-02,revision
25,2020-03-14,2022-01-02,revision
25,2020-03-21,2022-01-02,revision
25,2020-03-28,2022-01-02,adjacent to revision
25,2020-04-04,2022-01-02,adjacent to revision
25,2020-04-11,2022-01-02,adjacent to revision
25,2020-06-06,2022-01-02,revision
25,2020-03-07,2022-01-09,revision
25,2020-03-14,2022-01-09,revision
25,2020-03-21,2022-01-09,revision
25,2020-03-28,2022-01-09,adjacent to revision
25,2020-04-04,2022-01-09,adjacent to revision
25,2020-04-11,2022-01-09,adjacent to revision
25,2020-06-06,2022-01-09,revision
25,2020-03-07,2022-01-16,revision
25,2020-03-14,2022-01-16,revision
25,2020-03-21,2022-01-16,revision
25,2020-03-28,2022-01-16,adjacent to revision
25,2020-04-04,2022-01-16,adjacent to revision
25,2020-04-11,2022-01-16,adjacent to revision
25,2020-06-06,2022-01-16,revision
25,2020-03-07,2022-01-23,revision
25,2020-03-14,2022-01-23,revision
25,2020-03-21,2022-01-23,revision
25,2020-03-28,2022-01-23,adjacent to revision
25,2020-04-04,2022-01-23,adjacent to revision
25,2020-04-11,2022-01-23,adjacent to revision
25,2020-06-06,2022-01-23,revision
25,2020-03-07,2022-01-30,revision
25,2020-03-14,2022-01-30,revision
25,2020-03-21,2022-01-30,revision
25,2020-03-28,2022-01-30,adjacent to revision
25,2020-04-04,2022-01-30,adjacent to revision
25,2020-04-11,2022-01-30,adjacent to revision
25,2020-06-06,2022-01-30,revision
25,2020-03-07,2022-02-06,revision
25,2020-03-14,2022-02-06,revision
25,2020-03-21,2022-02-06,revision
25,2020-03-28,2022-02-06,adjacent to revision
25,2020-04-04,2022-02-06,adjacent to revision
25,2020-04-11,2022-02-06,adjacent to revision
25,2020-06-06,2022-02-06,revision
25,2020-03-07,2022-02-13,revision
25,2020-03-14,2022-02-13,revision
25,2020-03-21,2022-02-13,revision
25,2020-03-28,2022-02-13,adjacent to revision
25,2020-04-04,2022-02-13,adjacent to revision
25,2020-04-11,2022-02-13,adjacent to revision
25,2020-06-06,2022-02-13,revision
25,2020-03-07,2022-02-20,revision
25,2020-03-14,2022-02-20,revision
25,2020-03-21,2022-02-20,revision
25,2020-03-28,2022-02-20,adjacent to revision
25,2020-04-04,2022-02-20,adjacent to revision
25,2020-04-11,2022-02-20,adjacent to revision
25,2020-06-06,2022-02-20,revision
25,2020-03-07,2022-02-27,revision
25,2020-03-14,2022-02-27,revision
25,2020-03-21,2022-02-27,revision
25,2020-03-28,2022-02-27,adjacent to revision
25,2020-04-04,2022-02-27,adjacent to revision
25,2020-04-11,2022-02-27,adjacent to revision
25,2020-06-06,2022-02-27,revision
25,2020-03-07,2022-03-06,revision
25,2020-03-14,2022-03-06,revision
25,2020-03-21,2022-03-06,revision
25,2020-03-28,2022-03-06,adjacent to revision
25,2020-04-04,2022-03-06,adjacent to revision
25,2020-04-11,2022-03-06,adjacent to revision
25,2020-06-06,2022-03-06,revision
25,2020-03-07,2022-03-13,revision
25,2020-03-14,2022-03-13,revision
25,2020-03-21,2022-03-13,revision
25,2020-03-28,2022-03-13,adjacent to revision
25,2020-04-04,2022-03-13,adjacent to revision
25,2020-04-11,2022-03-13,adjacent to revision
25,2020-06-06,2022-03-13,revision
25,2020-03-07,2022-03-20,revision
25,2020-03-14,2022-03-20,revision
25,2020-03-21,2022-03-20,revision
25,2020-03-28,2022-03-20,adjacent to revision
25,2020-04-04,2022-03-20,adjacent to revision
25,2020-04-11,2022-03-20,adjacent to revision
25,2020-06-06,2022-03-20,revision
25,2020-03-07,2022-03-27,revision
25,2020-03-14,2022-03-27,revision
25,2020-03-21,2022-03-27,revision
25,2020-03-28,2022-03-27,adjacent to revision
25,2020-04-04,2022-03-27,adjacent to revision
25,2020-04-11,2022-03-27,adjacent to revision
25,2020-06-06,2022-03-27,revision
25,2020-03-07,2022-04-03,revision
25,2020-03-14,2022-04-03,revision
25,2020-03-21,2022-04-03,revision
25,2020-03-28,2022-04-03,adjacent to revision
25,2020-04-04,2022-04-03,adjacent to revision
25,2020-04-11,2022-04-03,adjacent to revision
25,2020-06-06,2022-04-03,revision
25,2020-03-07,2022-04-10,revision
25,2020-03-14,2022-04-10,revision
25,2020-03-21,2022-04-10,revision
25,2020-03-28,2022-04-10,adjacent to revision
25,2020-04-04,2022-04-10,adjacent to revision
25,2020-04-11,2022-04-10,adjacent to revision
25,2020-06-06,2022-04-10,revision
25,2020-03-07,2022-04-17,revision
25,2020-03-14,2022-04-17,revision
25,2020-03-21,2022-04-17,revision
25,2020-03-28,2022-04-17,adjacent to revision
25,2020-04-04,2022-04-17,adjacent to revision
25,2020-04-11,2022-04-17,adjacent to revision
25,2020-06-06,2022-04-17,revision
25,2020-03-07,2022-04-24,revision
25,2020-03-14,2022-04-24,revision
25,2020-03-21,2022-04-24,revision
25,2020-03-28,2022-04-24,adjacent to revision
25,2020-04-04,2022-04-24,adjacent to revision
25,2020-04-11,2022-04-24,adjacent to revision
25,2020-06-06,2022-04-24,revision
25,2020-03-07,2022-05-01,revision
25,2020-03-14,2022-05-01,revision
25,2020-03-21,2022-05-01,revision
25,2020-03-28,2022-05-01,adjacent to revision
25,2020-04-04,2022-05-01,adjacent to revision
25,2020-04-11,2022-05-01,adjacent to revision
25,2020-06-06,2022-05-01,revision
25,2020-03-07,2022-05-08,revision
25,2020-03-14,2022-05-08,revision
25,2020-03-21,2022-05-08,revision
25,2020-03-28,2022-05-08,adjacent to revision
25,2020-04-04,2022-05-08,adjacent to revision
25,2020-04-11,2022-05-08,adjacent to revision
25,2020-06-06,2022-05-08,revision
25,2020-03-07,2022-05-15,revision
25,2020-03-14,2022-05-15,revision
25,2020-03-21,2022-05-15,revision
25,2020-03-28,2022-05-15,adjacent to revision
25,2020-04-04,2022-05-15,adjacent to revision
25,2020-04-11,2022-05-15,adjacent to revision
25,2020-06-06,2022-05-15,revision
26,2020-06-06,2020-06-14,revision
26,2020-06-06,2020-06-21,revision
26,2020-06-06,2020-06-28,revision
26,2020-06-06,2020-07-05,revision
26,2020-06-06,2020-07-12,revision
26,2020-06-06,2020-07-19,revision
26,2020-06-06,2020-07-26,revision
26,2020-06-06,2020-08-02,revision
26,2020-06-06,2020-08-09,revision
26,2020-06-06,2020-08-16,revision
26,2020-06-06,2020-08-23,revision
26,2020-06-06,2020-08-30,revision
26,2020-06-06,2020-09-06,revision
26,2020-06-06,2020-09-13,revision
26,2020-06-06,2020-09-20,revision
26,2020-06-06,2020-09-27,revision
26,2020-06-06,2020-10-04,revision
26,2020-06-06,2020-10-11,revision
26,2020-06-06,2020-10-18,revision
26,2020-06-06,2020-10-25,revision
26,2020-06-06,2020-11-01,revision
26,2020-06-06,2020-11-08,revision
26,2020-06-06,2020-11-15,revision
26,2020-06-06,2020-11-22,revision
26,2020-06-06,2020-11-29,revision
26,2020-06-06,2020-12-06,revision
26,2020-06-06,2020-12-13,revision
26,2020-06-06,2020-12-20,revision
26,2020-06-06,2020-12-27,revision
26,2020-06-06,2021-01-03,revision
26,2020-06-06,2021-01-10,revision
26,2020-06-06,2021-01-17,revision
26,2020-06-06,2021-01-24,revision
26,2020-06-06,2021-01-31,revision
26,2020-06-06,2021-02-07,revision
26,2020-06-06,2021-02-14,revision
26,2020-06-06,2021-02-21,revision
26,2020-06-06,2021-02-28,revision
26,2020-06-06,2021-03-07,revision
26,2020-06-06,2021-03-14,revision
26,2020-06-06,2021-03-21,revision
26,2020-06-06,2021-03-28,revision
26,2020-06-06,2021-04-04,revision
26,2020-06-06,2021-04-11,revision
26,2020-06-06,2021-04-18,revision
26,2020-06-06,2021-04-25,revision
26,2020-06-06,2021-05-02,revision
26,2020-06-06,2021-05-09,revision
26,2020-06-06,2021-05-16,revision
26,2020-06-06,2021-05-23,revision
26,2020-06-06,2021-05-30,revision
26,2020-06-06,2021-06-06,revision
26,2020-06-06,2021-06-13,revision
26,2020-06-06,2021-06-20,revision
26,2020-06-06,2021-06-27,revision
26,2020-06-06,2021-07-04,revision
26,2020-06-06,2021-07-11,revision
26,2020-06-06,2021-07-18,revision
26,2020-06-06,2021-07-25,revision
26,2020-06-06,2021-08-01,revision
26,2020-06-06,2021-08-08,revision
26,2020-06-06,2021-08-15,revision
26,2020-06-06,2021-08-22,revision
26,2020-06-06,2021-08-29,revision
26,2020-06-06,2021-09-05,revision
26,2020-06-06,2021-09-12,revision
26,2020-06-06,2021-09-19,revision
26,2020-06-06,2021-09-26,revision
26,2020-06-06,2021-10-03,revision
26,2020-06-06,2021-10-10,revision
26,2020-06-06,2021-10-17,revision
26,2020-06-06,2021-10-24,revision
26,2020-06-06,2021-10-31,revision
26,2020-06-06,2021-11-07,revision
26,2020-06-06,2021-11-14,revision
26,2020-06-06,2021-11-21,revision
26,2020-06-06,2021-11-28,revision
26,2020-06-06,2021-12-05,revision
26,2020-06-06,2021-12-12,revision
26,2020-06-06,2021-12-19,revision
26,2020-06-06,2021-12-26,revision
26,2020-06-06,2022-01-02,revision
26,2020-06-06,2022-01-09,revision
26,2020-06-06,2022-01-16,revision
26,2020-06-06,2022-01-23,revision
26,2020-06-06,2022-01-30,revision
26,2020-06-06,2022-02-06,revision
26,2020-06-06,2022-02-13,revision
26,2020-06-06,2022-02-20,revision
26,2020-06-06,2022-02-27,revision
26,2020-06-06,2022-03-06,revision
26,2020-06-06,2022-03-13,revision
26,2020-06-06,2022-03-20,revision
26,2020-06-06,2022-03-27,revision
26,2020-06-06,2022-04-03,revision
26,2020-06-06,2022-04-10,revision
26,2020-06-06,2022-04-17,revision
26,2020-06-06,2022-04-24,revision
26,2020-06-06,2022-05-01,revision
26,2020-06-06,2022-05-08,revision
26,2020-06-06,2022-05-15,revision
29,2020-03-21,2021-01-31,revision
29,2020-03-28,2021-01-31,adjacent to revision
29,2020-04-04,2021-01-31,adjacent to revision
29,2020-04-11,2021-01-31,adjacent to revision
29,2020-03-21,2021-02-07,revision
29,2020-03-28,2021-02-07,adjacent to revision
29,2020-04-04,2021-02-07,adjacent to revision
29,2020-04-11,2021-02-07,adjacent to revision
29,2020-03-21,2021-02-14,revision
29,2020-03-28,2021-02-14,adjacent to revision
29,2020-04-04,2021-02-14,adjacent to revision
29,2020-04-11,2021-02-14,adjacent to revision
29,2020-03-21,2021-02-21,revision
29,2020-03-28,2021-02-21,adjacent to revision
29,2020-04-04,2021-02-21,adjacent to revision
29,2020-04-11,2021-02-21,adjacent to revision
29,2020-03-21,2021-02-28,revision
29,2020-03-28,2021-02-28,adjacent to revision
29,2020-04-04,2021-02-28,adjacent to revision
29,2020-04-11,2021-02-28,adjacent to revision
29,2020-03-21,2021-03-07,revision
29,2020-03-28,2021-03-07,adjacent to revision
29,2020-04-04,2021-03-07,adjacent to revision
29,2020-04-11,2021-03-07,adjacent to revision
29,2020-03-21,2021-03-14,revision
29,2020-03-28,2021-03-14,adjacent to revision
29,2020-04-04,2021-03-14,adjacent to revision
29,2020-04-11,2021-03-14,adjacent to revision
29,2021-01-23,2021-03-14,revision
29,2021-01-30,2021-03-14,adjacent to revision
29,2021-02-06,2021-03-14,revision
29,2021-02-13,2021-03-14,adjacent to revision
29,2021-02-20,2021-03-14,adjacent to revision
29,2021-02-27,2021-03-14,revision
29,2021-03-06,2021-03-14,revision
29,2020-03-21,2021-03-21,revision
29,2020-03-28,2021-03-21,adjacent to revision
29,2020-04-04,2021-03-21,adjacent to revision
29,2020-04-11,2021-03-21,adjacent to revision
29,2021-01-23,2021-03-21,revision
29,2021-01-30,2021-03-21,adjacent to revision
29,2021-02-06,2021-03-21,revision
29,2021-02-13,2021-03-21,adjacent to revision
29,2021-02-20,2021-03-21,adjacent to revision
29,2021-02-27,2021-03-21,revision
29,2021-03-06,2021-03-21,revision
29,2020-03-21,2021-03-28,revision
29,2020-03-28,2021-03-28,adjacent to revision
29,2020-04-04,2021-03-28,adjacent to revision
29,2020-04-11,2021-03-28,adjacent to revision
29,2021-01-23,2021-03-28,revision
29,2021-01-30,2021-03-28,adjacent to revision
29,2021-02-06,2021-03-28,revision
29,2021-02-13,2021-03-28,adjacent to revision
