location,date,issue_date,anomaly_type
02,2020-06-20,2020-11-01,revision
02,2020-06-27,2020-11-01,revision
02,2020-07-04,2020-11-01,adjacent to revision
02,2020-07-11,2020-11-01,adjacent to revision
02,2020-07-18,2020-11-01,adjacent to revision
02,2020-06-20,2020-11-08,revision
02,2020-06-27,2020-11-08,revision
02,2020-07-04,2020-11-08,adjacent to revision
02,2020-07-11,2020-11-08,adjacent to revision
02,2020-07-18,2020-11-08,adjacent to revision
02,2020-06-20,2020-11-15,revision
02,2020-06-27,2020-11-15,revision
02,2020-07-04,2020-11-15,adjacent to revision
02,2020-07-11,2020-11-15,adjacent to revision
02,2020-07-18,2020-11-15,adjacent to revision
02,2020-06-20,2020-11-22,revision
02,2020-06-27,2020-11-22,revision
02,2020-07-04,2020-11-22,adjacent to revision
02,2020-07-11,2020-11-22,adjacent to revision
02,2020-07-18,2020-11-22,adjacent to revision
02,2020-06-20,2020-11-29,revision
02,2020-06-27,2020-11-29,revision
02,2020-07-04,2020-11-29,adjacent to revision
02,2020-07-11,2020-11-29,adjacent to revision
02,2020-07-18,2020-11-29,adjacent to revision
02,2020-06-20,2020-12-06,revision
02,2020-06-27,2020-12-06,revision
02,2020-07-04,2020-12-06,adjacent to revision
02,2020-07-11,2020-12-06,adjacent to revision
02,2020-07-18,2020-12-06,adjacent to revision
02,2020-06-20,2020-12-13,revision
02,2020-06-27,2020-12-13,revision
02,2020-07-04,2020-12-13,adjacent to revision
02,2020-07-11,2020-12-13,adjacent to revision
02,2020-07-18,2020-12-13,adjacent to revision
02,2020-06-20,2020-12-20,revision
02,2020-06-27,2020-12-20,revision
02,2020-07-04,2020-12-20,adjacent to revision
02,2020-07-11,2020-12-20,adjacent to revision
02,2020-07-18,2020-12-20,adjacent to revision
02,2020-06-20,2020-12-27,revision
02,2020-06-27,2020-12-27,revision
02,2020-07-04,2020-12-27,adjacent to revision
02,2020-07-11,2020-12-27,adjacent to revision
02,2020-07-18,2020-12-27,adjacent to revision
02,2020-06-20,2021-01-03,revision
02,2020-06-27,2021-01-03,revision
02,2020-07-04,2021-01-03,adjacent to revision
02,2020-07-11,2021-01-03,adjacent to revision
02,2020-07-18,2021-01-03,adjacent to revision
02,2020-06-20,2021-01-10,revision
02,2020-06-27,2021-01-10,revision
02,2020-07-04,2021-01-10,adjacent to revision
02,2020-07-11,2021-01-10,adjacent to revision
02,2020-07-18,2021-01-10,adjacent to revision
02,2020-06-20,2021-01-17,revision
02,2020-06-27,2021-01-17,revision
02,2020-07-04,2021-01-17,adjacent to revision
02,2020-07-11,2021-01-17,adjacent to revision
02,2020-07-18,2021-01-17,adjacent to revision
02,2020-06-20,2021-01-24,revision
02,2020-06-27,2021-01-24,revision
02,2020-07-04,2021-01-24,adjacent to revision
02,2020-07-11,2021-01-24,adjacent to revision
02,2020-07-18,2021-01-24,adjacent to revision
02,2020-06-20,2021-01-31,revision
02,2020-06-27,2021-01-31,revision
02,2020-07-04,2021-01-31,adjacent to revision
02,2020-07-11,2021-01-31,adjacent to revision
02,2020-07-18,2021-01-31,adjacent to revision
02,2020-06-20,2021-02-07,revision
02,2020-06-27,2021-02-07,revision
02,2020-07-04,2021-02-07,adjacent to revision
02,2020-07-11,2021-02-07,adjacent to revision
02,2020-07-18,2021-02-07,adjacent to revision
02,2020-06-20,2021-02-14,revision
02,2020-06-27,2021-02-14,revision
02,2020-07-04,2021-02-14,adjacent to revision
02,2020-07-11,2021-02-14,adjacent to revision
02,2020-07-18,2021-02-14,adjacent to revision
02,2020-06-20,2021-02-21,revision
02,2020-06-27,2021-02-21,revision
02,2020-07-04,2021-02-21,adjacent to revision
02,2020-07-11,2021-02-21,adjacent to revision
02,2020-07-18,2021-02-21,adjacent to revision
02,2020-06-20,2021-02-28,revision
02,2020-06-27,2021-02-28,revision
02,2020-07-04,2021-02-28,adjacent to revision
02,2020-07-11,2021-02-28,adjacent to revision
